s_no,error_type,username,user_id,osm_location_link,changeset_id,changeset_link,osm_object_type,osm_object_id,time_utc,country,detail
68,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038304/30.360617,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820996,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197234 and building way 1493192768
69,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.014892/30.314392,189370696,https://www.openstreetmap.org/changeset/189370696,node,13685158540,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493468242 and building way 1493468236
70,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.018270/30.325843,189370696,https://www.openstreetmap.org/changeset/189370696,node,13685479152,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493510042 and building way 1493507782
71,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.019265/30.352844,189370696,https://www.openstreetmap.org/changeset/189370696,node,13689995000,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494104625 and building way 1494104369
72,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.020674/30.353522,189370696,https://www.openstreetmap.org/changeset/189370696,node,13690010016,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494104626 and building way 1494104378
73,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.029451/30.343166,189370696,https://www.openstreetmap.org/changeset/189370696,node,13690224961,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494119635 and building way 1494099184
74,overlapping highway,Cotelabarca,13042395,https://www.openstreetmap.org/#map=18/-33.384841/-71.119662,189369987,https://www.openstreetmap.org/changeset/189369987,way,126670675,2026-09-21T21:31:44Z,Chile,runs alongside existing way 1478472044 for 62% of its length
75,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.375184/28.387461,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271454,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061651330 (16% area overlap)
76,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.376720/28.386423,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271457,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061645069 (32% area overlap)
77,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.376720/28.386423,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271457,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061645037 (9% area overlap)
